Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2000.0,Rashard Anderson,Jackson State (MS),CB,74.4,206.0,4.59,21.378663540445487,34.0,123.0,4.15,7.18,,1.0,23.0,CAR,23.0,2001.0,0.0,0.0,1.0,7.0,7.0,68.0,1.0,0.0,D,68.0,1.0,0.0,4.25
2000.0,Reggie Austin,Wake Forest,CB,69.4,175.0,4.46,17.0,35.0,119.0,4.14,7.03,4-7-0,4.0,125.0,CHI,23.0,2002.0,0.0,0.0,0.0,2.0,2.0,18.0,2.0,0.0,D,9.0,1.0,0.0,0.5625
2000.0,Rashidi Barnes,Colorado,FS,71.6,208.0,4.63,10.0,35.0,114.0,4.32,6.92,7-6-0,7.0,225.0,CLE,22.0,2000.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,D,15.0,0.0,0.0,15.0
2000.0,David Barrett,Arkansas,CB,69.9,199.0,4.48,16.0,37.5,116.0,4.04,6.81,4-7-0,4.0,102.0,ARI,22.0,2008.0,0.0,0.0,6.0,31.0,14.0,391.0,18.0,0.5,D,48.88,2.25,0.06,3.055
2000.0,William Bartee,Oklahoma,CB,73.0,192.0,4.43,21.378663540445487,38.5,124.0,3.99,6.7,8-4-0,2.0,54.0,KAN,23.0,2005.0,0.0,0.0,2.0,13.0,13.0,212.0,0.0,3.5,D,42.4,0.0,0.7,2.65
2000.0,Robert Bean,Mississippi State,CB,71.0,178.0,4.5,21.378663540445487,34.5,122.0,4.2,6.87,3-8-0,5.0,133.0,CIN,22.0,2002.0,0.0,0.0,0.0,2.0,2.0,67.0,1.0,0.0,D,33.5,0.5,0.0,2.09375
2000.0,Rogers Beckett,Marshall (WV),FS,73.5,207.0,4.64,15.0,39.5,119.0,4.29,6.48,4-7-0,2.0,43.0,SDG,23.0,2004.0,0.0,0.0,3.0,19.0,13.0,230.0,4.0,4.0,D,57.5,1.0,1.0,3.59375
2000.0,Marcus Bell,Arizona,ILB,73.6,237.0,4.8,21.0,31.5,111.0,4.33,7.17,3-8-0,4.0,116.0,SEA,23.0,2002.0,0.0,0.0,1.0,7.0,7.0,109.0,1.0,2.0,D,54.5,0.5,1.0,3.40625
2000.0,Marcus Bell,Arizona,ILB,73.6,237.0,4.8,21.0,31.5,111.0,4.33,7.17,3-8-0,4.0,123.0,ARI,22.0,2006.0,0.0,0.0,2.0,14.0,7.0,131.0,0.0,6.5,D,21.83,0.0,1.08,1.364375
2000.0,Michael Boireau,Miami (FL),DE,76.1,274.0,5.12,26.0,29.0,105.0,4.49,7.68,9-3-0,2.0,56.0,MIN,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2000.0,Matt Bowen,Iowa,SS,73.1,201.0,4.51,12.0,33.0,115.0,4.09,7.06,7-5-0,6.0,198.0,STL,23.0,2006.0,0.0,0.0,1.0,13.0,1.0,189.0,4.0,2.0,D,31.5,0.67,0.33,1.96875
2000.0,Mike Brown,Nebraska,SS,69.9,204.0,4.6,14.0,36.0,116.0,4.01,6.93,8-4-0,2.0,39.0,CHI,22.0,2009.0,1.0,1.0,7.0,60.0,54.0,510.0,20.0,7.0,D,56.67,2.22,0.78,3.541875
2000.0,Ralph Brown,Nebraska,CB,69.9,204.0,4.6,14.0,36.0,116.0,4.01,6.93,8-4-0,5.0,140.0,NYG,21.0,2009.0,0.0,0.0,0.0,12.0,6.0,206.0,6.0,1.0,D,22.89,0.67,0.11,1.430625
2000.0,Keith Bulluck,Syracuse,OLB,75.0,244.0,4.47,21.378663540445487,38.0,119.0,4.13,7.33,1-10-0,1.0,30.0,TEN,23.0,2010.0,1.0,1.0,9.0,72.0,70.0,811.0,21.0,18.0,D,81.1,2.1,1.8,5.06875
2000.0,Leonardo Carson,Auburn,DE,73.5,283.0,5.06,22.0,28.0,106.0,4.75,7.82,9-3-0,4.0,113.0,SDG,23.0,2004.0,0.0,0.0,2.0,16.0,10.0,92.0,0.0,8.5,D,23.0,0.0,2.12,1.4375
2000.0,Tyrone Carter,Minnesota,SS,67.6,190.0,4.53,16.0,41.0,121.0,4.19,6.75,7-5-0,4.0,118.0,MIN,24.0,2010.0,0.0,0.0,2.0,27.0,7.0,380.0,9.0,5.5,D,38.0,0.9,0.55,2.375
2000.0,Ike Charlton,Virginia Tech,CB,71.1,205.0,4.47,16.0,34.43981481481482,126.0,4.304478021978025,7.204715672676831,11-2-0,2.0,52.0,SEA,22.0,2003.0,0.0,0.0,0.0,3.0,1.0,83.0,2.0,2.0,D,27.67,0.67,0.67,1.729375
2000.0,Kendrick Clancy,Mississippi,DT,72.9,283.0,5.28,25.0,27.5,108.0,4.65,7.98,3-8-0,3.0,72.0,PIT,21.0,2009.0,0.0,0.0,3.0,24.0,6.0,126.0,1.0,5.5,D,14.0,0.11,0.61,0.875
2000.0,Danny Clark,Illinois,ILB,74.1,245.0,4.77,20.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,2-9-0,7.0,245.0,JAX,23.0,2010.0,0.0,0.0,8.0,40.0,13.0,514.0,2.0,7.0,D,51.4,0.2,0.7,3.2125
2000.0,Chris Combs,Duke,DT,76.8,286.0,5.18,22.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,1-10-0,6.0,173.0,PIT,23.0,2002.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,D,2.0,0.0,0.0,0.125
2000.0,Mario Edwards,Florida State,CB,72.1,191.0,4.46,32.0,32.5,120.0,4.55,7.44,8-5-0,6.0,180.0,DAL,24.0,2004.0,0.0,0.0,3.0,24.0,23.0,164.0,4.0,0.0,D,41.0,1.0,0.0,2.5625
2000.0,John Engelberger,Virginia Tech,DE,76.3,260.0,4.74,24.0,34.0,115.0,4.28,6.95,11-2-0,2.0,35.0,SFO,23.0,2008.0,0.0,0.0,5.0,32.0,23.0,211.0,0.0,20.5,D,26.38,0.0,2.56,1.64875
2000.0,Erik Flowers,Arizona State,DE,76.3,271.0,4.78,24.0,33.0,114.0,4.15,7.21,7-5-0,1.0,26.0,BUF,22.0,2004.0,0.0,0.0,0.0,6.0,4.0,40.0,1.0,5.0,D,10.0,0.25,1.25,0.625
2000.0,John Frank,Utah,DE,75.8,280.0,4.81,32.0,37.0,117.0,4.27,7.07,7-5-0,6.0,178.0,PHI,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2000.0,Todd Franz,Tulsa (OK),FS,73.0,199.0,4.55,14.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,9-4-0,5.0,145.0,DET,24.0,2005.0,0.0,0.0,0.0,3.0,,42.0,1.0,0.0,D,8.4,0.2,0.0,0.525
2000.0,Arturo Freeman,South Carolina,FS,72.4,188.0,4.58,14.0,35.5,124.0,4.38,6.91,7-5-0,5.0,152.0,MIA,23.0,2005.0,0.0,0.0,2.0,11.0,11.0,143.0,5.0,3.5,D,28.6,1.0,0.7,1.7875
2000.0,Byron Frisch,Brigham Young,DE,76.4,281.0,4.77,31.0,34.5,114.0,4.41,7.2,6-6-0,3.0,93.0,TEN,23.0,2002.0,0.0,0.0,0.0,2.0,,18.0,0.0,5.0,D,9.0,0.0,2.5,0.5625
2000.0,Kabeer Gbaja-Biamila,San Diego State,OLB,76.0,243.0,4.65,21.0,34.0,120.0,4.28,6.9,5-7-0,5.0,149.0,GNB,22.0,2008.0,0.0,1.0,5.0,44.0,44.0,225.0,1.0,74.5,D,28.12,0.12,9.31,1.7575
2000.0,Ian Gold,Michigan,OLB,73.1,221.0,4.58,21.0,33.0,115.0,4.19,6.97,7-5-0,2.0,40.0,DEN,22.0,2007.0,0.0,1.0,5.0,41.0,34.0,436.0,4.0,17.0,D,62.29,0.57,2.43,3.893125
2000.0,Deon Grant,Tennessee,SS,73.8,209.0,4.5,15.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,5-6-0,2.0,57.0,CAR,21.0,2011.0,0.0,0.0,10.0,60.0,23.0,624.0,30.0,6.5,D,56.73,2.73,0.59,3.545625
2000.0,Ernest Grant,Arkansas-Pine Bluff,DT,77.3,316.0,5.33,24.0,29.5,98.0,5.03,8.0,,6.0,167.0,MIA,24.0,2002.0,0.0,0.0,0.0,3.0,2.0,22.0,0.0,0.5,D,11.0,0.0,0.25,0.6875
2000.0,Barrett Green,West Virginia,OLB,73.0,233.0,4.56,22.0,36.0,120.0,4.304478021978025,7.204715672676831,11-1-0,2.0,50.0,DET,22.0,2005.0,0.0,0.0,4.0,21.0,17.0,200.0,0.0,5.0,D,40.0,0.0,1.0,2.5
2000.0,Cornelius Griffin,Alabama,DE,75.1,297.0,4.91,30.0,31.0,111.0,4.62,7.63,10-2-0,2.0,42.0,NYG,23.0,2009.0,0.0,0.0,9.0,59.0,18.0,340.0,2.0,29.0,D,37.78,0.22,3.22,2.36125
2000.0,Clark Haggans,Colorado State,OLB,75.4,253.0,5.01,20.0,31.5,109.0,4.21,7.12,6-6-0,5.0,137.0,PIT,23.0,2012.0,0.0,0.0,7.0,48.0,30.0,370.0,1.0,46.5,D,30.83,0.08,3.88,1.926875
2000.0,Antwan Harris,Virginia,CB,69.1,186.0,4.37,16.0,39.0,121.0,4.01,6.75,7-5-0,6.0,187.0,NWE,23.0,2003.0,0.0,0.0,0.0,4.0,4.0,37.0,1.0,1.0,D,12.33,0.33,0.33,0.770625
2000.0,Jeff Harris,Georgia,CB,72.4,190.0,4.55,21.378663540445487,34.5,114.0,4.25,6.73,10-3-0,7.0,232.0,MIA,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2000.0,Lloyd Harrison,North Carolina State,CB,70.0,190.0,4.57,16.0,37.5,119.0,4.25,7.12,7-5-0,3.0,64.0,WAS,23.0,2002.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,D,8.5,0.0,0.5,0.53125
