Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Roc Alexander,Washington,CB,71.0,185.0,4.37,,39.5,125.0,4.23,6.97,2-9-0,,,,,,,,,,,,,,U
2004.0,Marcell Allmond,Southern California,CB,72.0,209.0,4.63,21.0,38.0,123.0,4.34,7.37,12-1-0,,,,,,,,,,,,,,U
2004.0,Rashad Baker,Tennessee,FS,70.5,204.0,4.55,21.0,36.0,117.0,4.12,7.19,5-6-0,,,,,,,,,,,,,,U
2004.0,Ryan Boschetti,UCLA,DT,76.4,306.0,5.15,,29.5,110.0,4.27,7.41,10-2-0,,,,,,,,,,,,,,U
2004.0,Jon Bradley,Arkansas State,DT,73.0,306.0,5.09,19.0,26.5,104.0,4.85,7.88,6-6-0,,,,,,,,,,,,,,U
2004.0,Rufus Brown,Florida State,CB,69.3,187.0,4.45,15.0,33.0,124.0,4.44,7.24,8-5-0,,,,,,,,,,,,,,U
2004.0,Josh Buhl,Kansas State,OLB,71.3,204.0,4.7,,29.0,114.0,4.32,7.26,5-6-0,,,,,,,,,,,,,,U
2004.0,Darrell Campbell,Notre Dame,DT,75.6,302.0,5.21,25.0,33.0,111.0,4.66,7.63,9-3-0,,,,,,,,,,,,,,U
2004.0,Dietrich Canterberry,Nevada Las Vegas,DT,74.9,308.0,5.35,26.0,,,,,,,,,,,,,,,,,,,U
2004.0,Jordan Carstens,Iowa State,DT,77.4,305.0,5.05,28.0,28.5,106.0,4.8,8.35,7-5-0,,,,,,,,,,,,,,U
2004.0,Ahmad Childress,Alabama,DT,77.9,351.0,5.32,,22.0,86.0,4.94,8.75,10-2-0,,,,,,,,,,,,,,U
2004.0,Cols Colas,Virginia Tech,OLB,71.6,233.0,4.59,22.0,34.5,118.0,,,11-2-0,,,,,,,,,,,,,,U
2004.0,Kentrell Curry,Georgia,FS,73.0,201.0,4.63,17.0,34.5,127.0,,,10-3-0,,,,,,,,,,,,,,U
2004.0,Curtis DeLoatch,North Carolina A&T,CB,74.4,214.0,4.52,10.0,35.5,120.0,4.42,6.97,,,,,,,,,,,,,,,U
2004.0,Mondre Dickerson,Tennessee,DT,76.1,316.0,5.12,29.0,27.0,106.0,,8.34,5-6-0,,,,,,,,,,,,,,U
2004.0,Daryl Dixon,Florida,FS,69.6,195.0,4.75,15.0,35.5,118.0,,,9-3-0,,,,,,,,,,,,,,U
2004.0,DeAndre Eiland,South Carolina,FS,71.5,202.0,4.54,17.0,35.0,113.0,4.27,7.19,7-5-0,,,,,,,,,,,,,,U
2004.0,Kevin Emanuel,Florida State,DE,76.0,251.0,4.84,21.0,31.0,108.0,4.49,7.86,8-5-0,,,,,,,,,,,,,,U
2004.0,Ryan Fowler,Duke,ILB,75.1,250.0,4.76,35.0,37.5,118.0,4.19,7.19,1-10-0,,,,,,,,,,,,,,U
2004.0,Jabari Greer,Tennessee,CB,70.1,178.0,4.51,7.0,36.5,126.0,,,5-6-0,,,,,,,,,,,,,,U
2004.0,Jonathan Harrell,Northern Iowa,OLB,73.5,242.0,4.73,27.0,,,,,,,,,,,,,,,,,,,U
2004.0,Bryan Hickman,Kansas State,OLB,72.1,231.0,4.71,26.0,32.5,106.0,4.0,7.38,5-6-0,,,,,,,,,,,,,,U
2004.0,Cedric Hilliard,Notre Dame,DT,73.5,307.0,5.17,26.0,29.0,110.0,4.75,8.22,9-3-0,,,,,,,,,,,,,,U
2004.0,T.J. Hollowell,Nebraska,OLB,72.4,235.0,4.57,,33.5,117.0,4.09,7.14,8-4-0,,,,,,,,,,,,,,U
2004.0,Spencer Johnson,Auburn,DT,74.9,286.0,5.12,19.0,30.0,111.0,4.53,7.78,9-3-0,,,,,,,,,,,,,,U
2004.0,Maurice Jones,South Florida,OLB,72.8,249.0,4.72,26.0,35.5,118.0,4.21,7.16,6-6-0,,,,,,,,,,,,,,U
2004.0,Randy Jordan,Kansas State,CB,72.8,178.0,4.61,,33.5,115.0,4.21,7.34,5-6-0,,,,,,,,,,,,,,U
