Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Nathaniel Adibi,Virginia Tech,DE,75.3,254.0,4.65,,33.0,118.0,4.36,,11-2-0,5,145,PIT,,,0,0,0,,,,,,D
2004.0,Roc Alexander,Washington,CB,71.0,185.0,4.37,,39.5,125.0,4.23,6.97,2-9-0,,,,,,,,,,,,,,U
2004.0,Jared Allen,Idaho State,DE,78.0,265.0,4.76,13.0,33.0,120.0,4.34,7.11,,4,126,KAN,22,2015,4,5,12,99,32,503,6,136.0,D
2004.0,Marcell Allmond,Southern California,CB,72.0,209.0,4.63,21.0,38.0,123.0,4.34,7.37,12-1-0,,,,,,,,,,,,,,U
2004.0,Matthias Askew,Michigan State,DT,77.4,308.0,5.24,20.0,27.0,101.0,4.42,7.55,5-6-0,4,114,CIN,22,2005,0,0,0,0,0,2,,,D
2004.0,Jason Babin,Western Michigan,DE,74.6,260.0,4.65,28.0,34.0,121.0,4.14,7.03,,1,27,HOU,24,2015,0,2,5,46,9,285,,64.5,D
2004.0,Rashad Baker,Tennessee,FS,70.5,204.0,4.55,21.0,36.0,117.0,4.12,7.19,5-6-0,,,,,,,,,,,,,,U
2004.0,Dave Ball,UCLA,DE,77.4,277.0,5.07,24.0,,,,,10-2-0,5,133,SDG,23,2012,0,0,1,15,0,84,1,15.5,D
2004.0,Ryon Bingham,Nebraska,DT,75.4,303.0,5.14,33.0,30.0,109.0,4.38,7.44,8-4-0,7,204,SDG,23,2008,0,0,0,6,6,46,,4.5,D
2004.0,Colby Bockwoldt,Brigham Young,OLB,73.6,230.0,4.59,14.0,34.0,112.0,4.05,7.12,6-6-0,7,240,NOR,23,2007,0,0,1,12,11,116,,2.0,D
2004.0,Ryan Boschetti,UCLA,DT,76.4,306.0,5.15,,29.5,110.0,4.27,7.41,10-2-0,,,,,,,,,,,,,,U
2004.0,Michael Boulware,Florida State,OLB,74.0,225.0,4.5,,,,3.92,6.89,8-5-0,2,53,SEA,22,2007,0,0,2,17,16,146,11,3.0,D
2004.0,Jon Bradley,Arkansas State,DT,73.0,306.0,5.09,19.0,26.5,104.0,4.85,7.88,6-6-0,,,,,,,,,,,,,,U
2004.0,Rufus Brown,Florida State,CB,69.3,187.0,4.45,15.0,33.0,124.0,4.44,7.24,8-5-0,,,,,,,,,,,,,,U
