Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2004.0,Nathaniel Adibi,Virginia Tech,DE,75.3,254.0,4.65,21.68733850129199,33.0,118.0,4.36,7.203437499999993,11-2-0,5.0,145.0,PIT,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2004.0,Jared Allen,Idaho State,DE,78.0,265.0,4.76,13.0,33.0,120.0,4.34,7.11,,4.0,126.0,KAN,22.0,2015.0,4.0,5.0,12.0,99.0,32.0,503.0,6.0,136.0,D,45.73,0.55,12.36,2.858125
2004.0,Matthias Askew,Michigan State,DT,77.4,308.0,5.24,20.0,27.0,101.0,4.42,7.55,5-6-0,4.0,114.0,CIN,22.0,2005.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,D,2.0,0.0,0.0,0.125
2004.0,Jason Babin,Western Michigan,DE,74.6,260.0,4.65,28.0,34.0,121.0,4.14,7.03,,1.0,27.0,HOU,24.0,2015.0,0.0,2.0,5.0,46.0,9.0,285.0,0.0,64.5,D,25.91,0.0,5.86,1.619375
2004.0,Dave Ball,UCLA,DE,77.4,277.0,5.07,24.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,10-2-0,5.0,133.0,SDG,23.0,2012.0,0.0,0.0,1.0,15.0,0.0,84.0,1.0,15.5,D,10.5,0.12,1.94,0.65625
2004.0,Ryon Bingham,Nebraska,DT,75.4,303.0,5.14,33.0,30.0,109.0,4.38,7.44,8-4-0,7.0,204.0,SDG,23.0,2008.0,0.0,0.0,0.0,6.0,6.0,46.0,0.0,4.5,D,11.5,0.0,1.12,0.71875
2004.0,Colby Bockwoldt,Brigham Young,OLB,73.6,230.0,4.59,14.0,34.0,112.0,4.05,7.12,6-6-0,7.0,240.0,NOR,23.0,2007.0,0.0,0.0,1.0,12.0,11.0,116.0,0.0,2.0,D,38.67,0.0,0.67,2.416875
2004.0,Michael Boulware,Florida State,OLB,74.0,225.0,4.5,21.68733850129199,34.358247422680414,116.59947643979058,3.92,6.89,8-5-0,2.0,53.0,SEA,22.0,2007.0,0.0,0.0,2.0,17.0,16.0,146.0,11.0,3.0,D,48.67,3.67,1.0,3.041875
2004.0,Tony Bua,Arkansas,SS,71.3,209.0,4.65,15.0,36.0,120.0,4.08,6.75,4-7-0,5.0,160.0,MIA,24.0,2004.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,D,1.0,0.0,0.0,1.0
2004.0,Ahmad Carroll,Arkansas,CB,69.6,195.0,4.36,15.0,41.0,128.0,4.280972644376902,7.203437499999993,4-7-0,1.0,25.0,GNB,21.0,2009.0,0.0,0.0,2.0,14.0,13.0,117.0,3.0,3.0,D,23.4,0.6,0.6,1.4625
