Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2006.0,Titus Adams,Nebraska,DT,75.38,306.0,5.12,15.0,30.5,103.0,4.54,7.49,8-4-0,7.0,220.0,NYJ,23.0,2009.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,D,0.33,0.0,0.0,0.020625
2006.0,Victor Adeyanju,Indiana,DE,76.25,274.0,4.88,22.0,32.0,112.0,4.41,7.37,4-7-0,4.0,113.0,STL,23.0,2009.0,0.0,0.0,2.0,13.0,13.0,109.0,0.0,3.0,D,36.33,0.0,1.0,2.270625
2006.0,Jason Allen,Tennessee,FS,72.88,209.0,4.41,17.0,39.5,131.0,3.81,6.75,5-6-0,1.0,16.0,MIA,23.0,2012.0,0.0,0.0,1.0,13.0,9.0,213.0,15.0,0.0,D,35.5,2.5,0.0,2.21875
2006.0,Jon Alston,Stanford,OLB,72.75,223.0,4.53,30.0,40.0,132.0,4.13,6.9,5-6-0,3.0,77.0,STL,23.0,2009.0,0.0,0.0,0.0,6.0,0.0,51.0,0.0,0.0,D,17.0,0.0,0.0,1.0625
2006.0,James Anderson,Virginia Tech,OLB,74.75,229.0,4.62,21.839506172839506,41.0,121.0,4.07,6.67,11-2-0,3.0,88.0,CAR,22.0,2015.0,0.0,0.0,4.0,31.0,25.0,421.0,3.0,12.0,D,46.78,0.33,1.33,2.92375
2006.0,Mark Anderson,Alabama,DE,76.25,254.0,4.65,20.0,42.0,127.0,4.22,6.95,10-2-0,5.0,159.0,CHI,23.0,2012.0,0.0,0.0,1.0,21.0,14.0,132.0,0.0,36.5,D,22.0,0.0,6.08,1.375
2006.0,Willie Andrews,Baylor,SS,69.38,193.0,4.45,7.0,36.5,124.0,4.27,6.99,5-6-0,7.0,229.0,NWE,22.0,2007.0,0.0,0.0,0.0,3.0,3.0,12.0,0.0,0.0,D,12.0,0.0,0.0,0.75
2006.0,Charles Bennett,Clemson,DE,75.63,258.0,4.72,19.0,33.5,115.0,4.52,7.48,8-4-0,7.0,241.0,TAM,23.0,2006.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,D,1.0,0.0,0.0,1.0
2006.0,Antoine Bethea,Howard (DC),FS,71.0,203.0,4.42,19.0,36.5,127.0,4.11,6.99,,6.0,207.0,IND,22.0,2019.0,0.0,3.0,12.0,63.0,42.0,995.0,25.0,9.5,D,76.54,1.92,0.73,4.78375
2006.0,Darnell Bing,Southern California,SS,74.0,227.0,4.52,17.0,34.0,120.0,4.07,7.25,12-1-0,4.0,101.0,OAK,21.0,2009.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,D,1.33,0.0,0.0,0.083125
